window,config,eg_thresh,hl_thresh,n_eff,eg_first_count,hl_first_count,p_hat,ci_lo,ci_hi,adequate_n,classification,rate_eg_only,rate_hl_only,rate_neither,rate_simultaneous,phi_pre,se_phi_pre,phi_post,se_phi_post,param_unstable,real_anchor_eg,real_anchor_hl,real_anchor_order
500,C1,0.05,20.0,1322,1315,7,0.9947,0.9891,0.9979,True,ROBUST,0.063,0.0,0.013,0.263,0.950351,0.014359,0.988012,0.008303,True,2022-01-31,2023-04-30,EG-first
500,C2,0.03,20.0,1381,1378,3,0.9978,0.9937,0.9996,True,ROBUST,0.07,0.0,0.006,0.2335,0.950351,0.014359,0.988012,0.008303,True,2022-01-31,2023-04-30,EG-first
500,C3,0.1,20.0,1019,977,42,0.9588,0.9447,0.9701,True,ROBUST,0.0445,0.0015,0.0315,0.413,0.950351,0.014359,0.988012,0.008303,True,2023-02-28,2023-04-30,EG-first
500,C4,0.05,15.0,554,407,147,0.7347,0.6958,0.771,True,ROBUST,0.005,0.003,0.01,0.705,0.950351,0.014359,0.988012,0.008303,True,2022-01-31,2022-03-31,EG-first
500,C5,0.05,25.0,1409,1409,0,1.0,0.9974,1.0,True,ROBUST,0.1535,0.0,0.013,0.129,0.950351,0.014359,0.988012,0.008303,True,2022-01-31,2023-04-30,EG-first
730,C1,0.05,20.0,286,85,201,0.2972,0.2448,0.3538,True,CONTRADICTED,0.046,0.077,0.5145,0.2195,0.961848,0.01145,0.883325,0.030395,False,2023-04-30,2023-04-30,simultaneous
730,C2,0.03,20.0,300,256,44,0.8533,0.8082,0.8914,True,ROBUST,0.088,0.0105,0.4725,0.279,0.961848,0.01145,0.883325,0.030395,False,2023-04-30,2023-04-30,simultaneous
730,C3,0.1,20.0,283,25,258,0.0883,0.058,0.1276,True,CONTRADICTED,0.0165,0.195,0.544,0.103,0.961848,0.01145,0.883325,0.030395,False,2023-05-31,2023-04-30,HL-first
730,C4,0.05,15.0,500,11,489,0.022,0.011,0.039,True,CONTRADICTED,0.0055,0.368,0.2235,0.153,0.961848,0.01145,0.883325,0.030395,False,2023-04-30,2023-04-30,simultaneous
730,C5,0.05,25.0,342,334,8,0.9766,0.9544,0.9898,True,ROBUST,0.1765,0.0015,0.59,0.061,0.961848,0.01145,0.883325,0.030395,False,2023-04-30,2023-05-31,EG-first
