# script_path: C:\Users\preet\OneDrive\Desktop\Skool\Arbit\analysis\claim003\codex\run_claim003_eg_halflife_ordering_robustness.py
# git_commit: dcd5f465aff03bbcf448a8e845767d364cfae098
# snapshot_id: tcs_infy_v1_2026-07-04
# timestamp_utc: 2026-07-06T09:30:39.968404+00:00
# output_content_sha256: 1b77e5c5557a597424382fcd7a150195d43fd1607292e109dcc569d62af36e81
# output_hash_scope: bytes after this provenance header
# final_file_sha256: recorded in output_manifest.csv
claim_id,window_length,config_id,config_description,eg_p_threshold,half_life_threshold,replicates,count_EG_first,count_HL_first,count_EG_only,count_HL_only,count_neither,count_simultaneous,effective_N,p_hat_EG_first_given_ordered,ci95_low,ci95_high,adequate_N,rate_EG_first,rate_HL_first,rate_EG_only,rate_HL_only,rate_neither,rate_simultaneous,classification,classification_with_parameter_flag,parameter_unstable,phi_pre,phi_pre_se,phi_post,phi_post_se,phi_post_ci_low,phi_post_ci_high,real_eg_cross_date,real_eg_cross_p_value,real_hl_cross_date,real_hl_cross_half_life,real_actual_order
claim_003_eg_halflife_ordering_robustness,500,C1,baseline,0.05,20.0,2000,919,5,69,0,12,995,924,0.9945887445887446,0.9874174481099169,0.9982407155008506,True,0.4595,0.0025,0.0345,0.0,0.006,0.4975,ROBUST,ROBUST - PARAMETER-UNSTABLE,True,0.9503511162511916,0.01435870229330931,0.988011742909168,0.008303330082983684,0.9717372159465201,1.004286269871816,2022-01-31,0.054798650332854186,2023-04-28,29.069707784469166,EG_FIRST
claim_003_eg_halflife_ordering_robustness,500,C2,EG p >= 0.03,0.03,20.0,2000,971,0,77,0,4,948,971,1.0,0.9962081553071013,1.0,True,0.4855,0.0,0.0385,0.0,0.002,0.474,ROBUST,ROBUST - PARAMETER-UNSTABLE,True,0.9503511162511916,0.01435870229330931,0.988011742909168,0.008303330082983684,0.9717372159465201,1.004286269871816,2022-01-31,0.054798650332854186,2023-04-28,29.069707784469166,EG_FIRST
claim_003_eg_halflife_ordering_robustness,500,C3,EG p >= 0.10,0.1,20.0,2000,729,26,37,0,44,1164,755,0.9655629139072848,0.9499470532434993,0.9773836127164658,True,0.3645,0.013,0.0185,0.0,0.022,0.582,ROBUST,ROBUST - PARAMETER-UNSTABLE,True,0.9503511162511916,0.01435870229330931,0.988011742909168,0.008303330082983684,0.9717372159465201,1.004286269871816,2023-02-28,0.10447115174655586,2023-04-28,29.069707784469166,EG_FIRST
claim_003_eg_halflife_ordering_robustness,500,C4,HL > 15d,0.05,15.0,2000,266,85,3,2,10,1634,351,0.7578347578347578,0.7095249780121826,0.8017347409368833,True,0.133,0.0425,0.0015,0.001,0.005,0.817,ROBUST,ROBUST - PARAMETER-UNSTABLE,True,0.9503511162511916,0.01435870229330931,0.988011742909168,0.008303330082983684,0.9717372159465201,1.004286269871816,2022-01-31,0.054798650332854186,2022-03-31,15.589148903642862,EG_FIRST
claim_003_eg_halflife_ordering_robustness,500,C5,HL > 25d,0.05,25.0,2000,1117,1,202,0,12,668,1118,0.9991055456171736,0.9950265964636401,0.9999773546320951,True,0.5585,0.0005,0.101,0.0,0.006,0.334,ROBUST,ROBUST - PARAMETER-UNSTABLE,True,0.9503511162511916,0.01435870229330931,0.988011742909168,0.008303330082983684,0.9717372159465201,1.004286269871816,2022-01-31,0.054798650332854186,2023-04-28,29.069707784469166,EG_FIRST
claim_003_eg_halflife_ordering_robustness,730,C1,baseline,0.05,20.0,2000,73,193,85,167,1084,398,266,0.2744360902255639,0.22171416714735767,0.3322621603942319,True,0.0365,0.0965,0.0425,0.0835,0.542,0.199,CONTRADICTED,CONTRADICTED,False,0.9618479776771665,0.011450388716486138,0.8833252635285977,0.030395369435760138,0.8237503394345079,0.9429001876226876,2023-04-28,0.09344489432714986,2023-04-28,22.32101272432479,SIMULTANEOUS
claim_003_eg_halflife_ordering_robustness,730,C2,EG p >= 0.03,0.03,20.0,2000,218,60,171,28,998,525,278,0.7841726618705036,0.7311044356126208,0.8310707838824527,True,0.109,0.03,0.0855,0.014,0.499,0.2625,ROBUST,ROBUST,False,0.9618479776771665,0.011450388716486138,0.8833252635285977,0.030395369435760138,0.8237503394345079,0.9429001876226876,2023-04-28,0.09344489432714986,2023-04-28,22.32101272432479,SIMULTANEOUS
claim_003_eg_halflife_ordering_robustness,730,C3,EG p >= 0.10,0.1,20.0,2000,20,235,32,395,1137,181,255,0.0784313725490196,0.04856463116006172,0.11853298607417609,True,0.01,0.1175,0.016,0.1975,0.5685,0.0905,CONTRADICTED,CONTRADICTED,False,0.9618479776771665,0.011450388716486138,0.8833252635285977,0.030395369435760138,0.8237503394345079,0.9429001876226876,2023-05-31,0.14935516952441702,2023-04-28,22.32101272432479,HL_FIRST
claim_003_eg_halflife_ordering_robustness,730,C4,HL > 15d,0.05,15.0,2000,7,448,14,742,509,280,455,0.015384615384615385,0.006207204539206366,0.03144012977704923,True,0.0035,0.224,0.007,0.371,0.2545,0.14,CONTRADICTED,CONTRADICTED,False,0.9618479776771665,0.011450388716486138,0.8833252635285977,0.030395369435760138,0.8237503394345079,0.9429001876226876,2023-04-28,0.09344489432714986,2023-04-28,22.32101272432479,SIMULTANEOUS
claim_003_eg_halflife_ordering_robustness,730,C5,HL > 25d,0.05,25.0,2000,291,7,328,4,1247,123,298,0.9765100671140939,0.9522027551036261,0.9905048561434846,True,0.1455,0.0035,0.164,0.002,0.6235,0.0615,ROBUST,ROBUST,False,0.9618479776771665,0.011450388716486138,0.8833252635285977,0.030395369435760138,0.8237503394345079,0.9429001876226876,2023-04-28,0.09344489432714986,2023-05-31,27.165118138257014,EG_FIRST
