# script_path: C:\Users\preet\OneDrive\Desktop\Skool\Arbit\analysis\claim_002_healthy_episode_characterization\codex\characterize_episode_1.py
# git_commit: 8452b6849ee79050d213ebfc5de84b3e127fd4ef
# snapshot_id: tcs_infy_v1_2026-07-04
# timestamp_utc: 2026-07-05T12:35:58.046603+00:00
# output_content_sha256: 5fce62eb96ea05e4a5edfcf083dd1f1c8fa9dabe8b585e7a313e5b390be1afa7
# output_hash_scope: bytes after this provenance header
# final_file_sha256: recorded in output_manifest.csv and provenance.json
basis,condition_column,condition_value,run_id,start_date,end_date,n_month_ends,window_lengths,eg_p_min,eg_p_max,adf_p_min,adf_p_max,half_life_min,half_life_max,beta_min,beta_max
500d_strict,strict_pass,True,1,2020-01-31,2021-12-31,24,500,6.595105599551577e-05,0.048051729487043365,4.028163947817914e-07,0.0008194453658985927,10.497456436654081,14.642765828358208,0.5450922330792083,0.9773806589082634
500d_strict,strict_pass,False,2,2022-01-31,2022-01-31,1,500,0.054798650332854186,0.054798650332854186,0.0009808085856401372,0.0009808085856401372,13.026421625524636,13.026421625524636,0.6768845403225504,0.6768845403225504
500d_strict,strict_pass,True,3,2022-02-28,2022-02-28,1,500,0.024227801808818505,0.024227801808818505,0.0003314411454385786,0.0003314411454385786,13.226865155710371,13.226865155710371,0.681356882035472,0.681356882035472
500d_strict,strict_pass,False,4,2022-03-31,2022-06-30,4,500,0.05326391373561568,0.07699450188417738,0.0009432450829744588,0.0015792483847301892,15.589148903642862,16.824575472616345,0.666090477934373,0.6875810613682142
500d_strict,strict_pass,True,5,2022-07-29,2022-09-30,3,500,0.016188453840892913,0.0464472138419084,0.00019855880656238697,0.0007825192441175084,13.584247169776209,16.076366361592754,0.6255040711620943,0.6878244066778804
500d_strict,strict_pass,False,6,2022-10-31,2022-12-30,3,500,0.08181618376989397,0.09636806712693774,0.0017226995086478474,0.002184458585987961,17.62283166064763,17.729563565695923,0.5848476906954055,0.6240544371378031
500d_strict,strict_pass,True,7,2023-01-31,2023-01-31,1,500,0.03985051615523341,0.03985051615523341,0.0006366713402356554,0.0006366713402356554,16.260331149260537,16.260331149260537,0.5985476430923222,0.5985476430923222
500d_strict,strict_pass,False,8,2023-02-28,2026-06-30,41,500,0.061048289053790346,0.9766629745900681,0.0011389239180867863,0.5827343622160407,18.40656837299567,303.015869718494,0.34381025953300354,1.221933294704328
730d_strict,strict_pass,True,1,2020-12-31,2023-03-31,28,730,1.865178629854679e-05,0.013158188162070537,1.09240479031749e-07,0.00015334063771354307,11.710708083335298,17.704357491423384,0.6477039640089935,0.7495151348775415
730d_strict,strict_pass,False,2,2023-04-28,2026-06-30,39,730,0.09224649051128292,0.9895783720620942,0.0020492812489975557,0.7461555839450857,22.32101272432479,2150.0470639552436,0.4548508199519607,0.9670673063820118
500d_730d_consensus_strict,strict_pass,True,1,2020-12-31,2021-12-31,13,500730,0.0016873812903982772,0.048051729487043365,1.3555265901626941e-05,0.0008194453658985927,12.093063561551489,17.704357491423384,0.6219063106761329,0.6661080794931697
500d_730d_consensus_strict,strict_pass,False,2,2022-01-31,2022-01-31,1,500730,0.054798650332854186,0.054798650332854186,0.0009808085856401372,0.0009808085856401372,13.891770885735946,13.891770885735946,0.6768845403225504,0.6768845403225504
500d_730d_consensus_strict,strict_pass,True,3,2022-02-28,2022-02-28,1,500730,0.024227801808818505,0.024227801808818505,0.0003314411454385786,0.0003314411454385786,13.668691482216307,13.668691482216307,0.681356882035472,0.681356882035472
500d_730d_consensus_strict,strict_pass,False,4,2022-03-31,2022-06-30,4,500730,0.05326391373561568,0.07699450188417738,0.0009432450829744588,0.0015792483847301892,15.589148903642862,16.824575472616345,0.666090477934373,0.6875810613682142
500d_730d_consensus_strict,strict_pass,True,5,2022-07-29,2022-09-30,3,500730,0.016188453840892913,0.0464472138419084,0.00019855880656238697,0.0007825192441175084,13.584247169776209,16.076366361592754,0.6255040711620943,0.6878244066778804
500d_730d_consensus_strict,strict_pass,False,6,2022-10-31,2022-12-30,3,500730,0.08181618376989397,0.09636806712693774,0.0017226995086478474,0.002184458585987961,17.62283166064763,17.729563565695923,0.5848476906954055,0.6240544371378031
500d_730d_consensus_strict,strict_pass,True,7,2023-01-31,2023-01-31,1,500730,0.03985051615523341,0.03985051615523341,0.0006366713402356554,0.0006366713402356554,16.260331149260537,16.260331149260537,0.5985476430923222,0.5985476430923222
500d_730d_consensus_strict,strict_pass,False,8,2023-02-28,2026-06-30,41,500730,0.10447115174655586,0.9895783720620942,0.002460352628156812,0.7461555839450857,18.40656837299567,2150.0470639552436,0.34381025953300354,1.221933294704328
500d_borderline_tolerant,borderline_pass,True,1,2020-01-31,2023-01-31,37,500,6.595105599551577e-05,0.09636806712693774,4.028163947817914e-07,0.002184458585987961,10.497456436654081,17.729563565695923,0.5450922330792083,0.9773806589082634
500d_borderline_tolerant,borderline_pass,False,2,2023-02-28,2026-04-30,39,500,0.10447115174655586,0.9766629745900681,0.002460352628156812,0.5827343622160407,18.40656837299567,303.015869718494,0.34381025953300354,1.0355801552110766
500d_borderline_tolerant,borderline_pass,True,3,2026-05-29,2026-06-30,2,500,0.061048289053790346,0.06962584458881345,0.0011389239180867863,0.0013692421445842258,18.927749243116683,26.018421137335093,1.1584068221611545,1.221933294704328
