date,window_length,beta
2018-03-28,60,0.8718904550449957
2018-04-30,60,0.9281389299506824
2018-05-31,60,2.3064843981722234
2018-06-29,60,1.0683375879116026
2018-06-29,120,1.5505001349927943
2018-07-31,60,0.8405444323237234
2018-07-31,120,1.4022411312858594
2018-08-31,60,0.9572269069439812
2018-08-31,120,1.239150496858165
2018-09-28,60,0.7753939187868655
2018-09-28,120,0.9704825062142226
2018-10-31,60,1.1278144407079669
2018-10-31,120,0.9010261206766935
2018-11-30,60,1.0495039923425846
2018-11-30,120,0.9899042200153738
2018-12-31,60,0.9514001177685336
2018-12-31,120,0.9284241820715144
2019-01-31,60,0.16160619276781363
2019-01-31,120,0.6087967106646961
2019-01-31,250,1.1183232815819613
2019-02-28,60,0.30842097839981664
2019-02-28,120,0.4977526850239302
2019-02-28,250,0.9948984620232618
2019-03-28,60,0.538598540542067
2019-03-28,120,0.4081096099141487
2019-03-28,250,0.8528314189204275
2019-04-30,60,0.253905020085915
2019-04-30,120,0.4737478945203273
2019-04-30,250,0.670031378911508
2019-05-31,60,0.0027189565196943377
2019-05-31,120,0.4842980037686223
2019-05-31,250,0.6876845391536349
2019-06-28,60,0.6466151251022811
2019-06-28,120,0.9041127382568535
2019-06-28,250,0.7369775448834676
2019-07-31,60,0.18301843985033894
2019-07-31,120,0.36349874727603293
2019-07-31,250,0.6994817654160523
2019-08-30,60,-0.056509055893657845
2019-08-30,120,0.49811505299844683
2019-08-30,250,0.7345074180757869
2019-09-30,60,0.08725857204751786
2019-09-30,120,0.16425546325680962
2019-09-30,250,0.6515763639914667
2019-10-31,60,-0.042307912796248015
2019-10-31,120,0.005436790458002827
2019-10-31,250,0.5554122217074482
2019-11-29,60,-0.1467129069466555
2019-11-29,120,-0.10557797667413094
2019-11-29,250,0.46807176788403015
2019-12-31,60,-0.26841095167935514
2019-12-31,120,-0.06121127389396719
2019-12-31,250,0.40155810936887665
2020-01-31,60,0.4381995753942105
2020-01-31,120,-0.026490859661152166
2020-01-31,250,0.2049734457582122
2020-01-31,500,0.9773806589082644
2020-02-28,60,0.18251484280548347
2020-02-28,120,-0.041907023119844844
2020-02-28,250,0.19505084433209824
2020-02-28,500,0.9346579534237336
2020-03-31,60,0.7621367777857642
2020-03-31,120,0.5989041924378209
2020-03-31,250,0.46771620352627363
2020-03-31,500,0.8500477925530935
2020-04-30,60,0.7733112570621752
2020-04-30,120,0.8517567797632037
2020-04-30,250,0.5873404854247858
2020-04-30,500,0.7440163944915031
2020-05-29,60,0.7591663854542654
2020-05-29,120,0.8511846153465519
2020-05-29,250,0.6024380917777029
2020-05-29,500,0.7186585928348994
2020-06-30,60,1.1262984882988798
2020-06-30,120,0.8304109774777031
2020-06-30,250,0.5959892538924644
2020-06-30,500,0.6902264731464017
2020-07-31,60,0.3988600614880551
2020-07-31,120,0.6279606772184436
2020-07-31,250,0.5363179238797764
2020-07-31,500,0.6072113852716328
2020-08-31,60,0.2898889780784233
2020-08-31,120,0.5430877361003111
2020-08-31,250,0.47657515959553276
2020-08-31,500,0.545092233079199
2020-09-30,60,0.4578538375262191
2020-09-30,120,0.5193973410898478
2020-09-30,250,0.5078105324474957
2020-09-30,500,0.5568570716812371
2020-10-30,60,1.0540139224470428
2020-10-30,120,0.5605884078463403
2020-10-30,250,0.5902753228657338
2020-10-30,500,0.6064594300105228
2020-11-27,60,0.7951650396545498
2020-11-27,120,0.6154102188857768
2020-11-27,250,0.6167277321410098
2020-11-27,500,0.6079638438835755
2020-12-31,60,0.6089677457646756
2020-12-31,120,0.8939173276345915
2020-12-31,250,0.6439224169918952
2020-12-31,500,0.6219063106761281
2020-12-31,730,0.7495151348775403
2021-01-29,60,0.9721135395368845
2021-01-29,120,0.9226220338487691
2021-01-29,250,0.689512335062366
2021-01-29,500,0.6477737836254679
2021-01-29,730,0.7358143826225101
2021-02-26,60,1.0150454241245819
2021-02-26,120,0.8801229621730804
2021-02-26,250,0.7086072208532848
2021-02-26,500,0.6599239401919779
2021-02-26,730,0.7194273732621446
2021-03-31,60,0.28075893306309174
2021-03-31,120,0.8066869296572771
2021-03-31,250,0.7068372999366783
2021-03-31,500,0.653400337108961
2021-03-31,730,0.6851760180634124
2021-04-30,60,0.4324480800185615
2021-04-30,120,0.8120013819682992
2021-04-30,250,0.6965913238485416
2021-04-30,500,0.6550464549986301
2021-04-30,730,0.682809456399282
2021-05-31,60,0.8335637839146646
2021-05-31,120,0.7037690862575499
2021-05-31,250,0.7147389764021279
2021-05-31,500,0.6600321394933351
2021-05-31,730,0.6788933288305262
2021-06-30,60,0.5280180247015211
2021-06-30,120,0.41633150579330414
2021-06-30,250,0.7677795690477189
2021-06-30,500,0.6634751120501196
2021-06-30,730,0.6736738242611243
2021-07-30,60,0.297394230721729
2021-07-30,120,0.3385464534707818
2021-07-30,250,0.7299056119460567
2021-07-30,500,0.6522532553585448
2021-07-30,730,0.6616587646469241
2021-08-31,60,0.5521276218256532
2021-08-31,120,0.4614685769101592
2021-08-31,250,0.6390641961887553
2021-08-31,500,0.6476396962603426
2021-08-31,730,0.6575012569573068
2021-09-30,60,1.6747770139576887
2021-09-30,120,0.665811121134114
2021-09-30,250,0.6507753107379719
2021-09-30,500,0.6594650518972124
2021-09-30,730,0.6717290879504876
2021-10-29,60,0.4488759854975575
2021-10-29,120,0.7124735709909612
2021-10-29,250,0.6520846821471672
2021-10-29,500,0.6593883363127973
2021-10-29,730,0.6701342766275815
2021-11-30,60,-0.8320855770208233
2021-11-30,120,0.7562135482418157
2021-11-30,250,0.5895193763062765
2021-11-30,500,0.6633489922147587
2021-11-30,730,0.6635251674045914
2021-12-31,60,0.2741150926582385
2021-12-31,120,0.720020144893398
2021-12-31,250,0.5401572780392566
2021-12-31,500,0.6661080794931658
2021-12-31,730,0.656491627536004
2022-01-31,60,0.7663190109231981
2022-01-31,120,0.34547746785370226
2022-01-31,250,0.5835675279265156
2022-01-31,500,0.6768845403225532
2022-01-31,730,0.6552178864831841
2022-02-28,60,0.4423658151016783
2022-02-28,120,0.28866359573127975
2022-02-28,250,0.641438113760061
2022-02-28,500,0.6813568820354707
2022-02-28,730,0.6542480221655663
2022-03-31,60,0.3587712626527826
2022-03-31,120,0.4858377228328292
2022-03-31,250,0.6068572566946158
2022-03-31,500,0.6750825007335974
2022-03-31,730,0.647703964008996
2022-04-29,60,0.23666681325603411
2022-04-29,120,0.38150674802042017
2022-04-29,250,0.6204458128510772
2022-04-29,500,0.6660904779343775
2022-04-29,730,0.6513461150209561
2022-05-31,60,0.396741068595742
2022-05-31,120,0.4569594204260974
2022-05-31,250,0.596859727352954
2022-05-31,500,0.6705506423169817
2022-05-31,730,0.6557681704075018
2022-06-30,60,0.6408762640937979
2022-06-30,120,0.5487160392449952
2022-06-30,250,0.5765363590811798
2022-06-30,500,0.6875810613682163
2022-06-30,730,0.6594610612445725
2022-07-29,60,0.7514543841918702
2022-07-29,120,0.5728392211172026
2022-07-29,250,0.5895558872984838
2022-07-29,500,0.6878244066778749
2022-07-29,730,0.657131398524258
2022-08-30,60,0.623166214228954
2022-08-30,120,0.5467813651579589
2022-08-30,250,0.6006232890407655
2022-08-30,500,0.6542993202923498
2022-08-30,730,0.6539312642624378
2022-09-30,60,0.8131500940520957
2022-09-30,120,0.8046054807109719
2022-09-30,250,0.644099326747344
2022-09-30,500,0.625504071162081
2022-09-30,730,0.6492231030159163
2022-10-31,60,0.7658391596289664
2022-10-31,120,0.7031411070788696
2022-10-31,250,0.6672814641025928
2022-10-31,500,0.6240544371377958
2022-10-31,730,0.6569430046043878
2022-11-30,60,0.679300255038791
2022-11-30,120,0.6603345274500545
2022-11-30,250,0.6907565024111677
2022-11-30,500,0.6022190056428965
2022-11-30,730,0.6603964284623689
2022-12-30,60,0.7373805171557102
2022-12-30,120,0.7589786419304033
2022-12-30,250,0.7160391552330252
2022-12-30,500,0.5848476906954033
