date,window_length,beta,abs_beta_change,eg_pval,adf_pval,half_life,eg_pass,adf_pass
2018-03-31,60,2.323278,,0.64882,0.074404,6.39,0,0
2018-04-30,60,2.730319,0.407042,0.980892,0.623092,119.94,0,0
2018-05-31,60,6.596318,3.865999,0.733648,0.109701,8.01,0,0
2018-06-30,60,3.035872,3.560446,0.205122,0.007054,4.13,0,1
2018-06-30,120,4.370951,,0.541958,0.046225,10.33,0,1
2018-07-31,60,2.5106,0.525272,0.069701,0.001371,3.27,0,1
2018-07-31,120,3.948886,0.422065,0.573801,0.053295,10.62,0,0
2018-08-31,60,2.794416,0.283817,0.100381,0.002319,2.26,0,1
2018-08-31,120,3.498076,0.450809,0.432268,0.027764,9.56,0,1
2018-09-30,60,2.294955,0.499461,0.000671,5e-06,3.0,1,1
2018-09-30,120,2.836076,0.662,0.016865,0.000209,3.44,1,1
2018-10-31,60,3.294332,0.999377,0.232605,0.008763,2.85,0,1
2018-10-31,120,2.682717,0.153359,0.044047,0.000728,3.49,1,1
2018-11-30,60,3.092689,0.201643,0.253453,0.010145,3.37,0,1
2018-11-30,120,2.909812,0.227095,0.016488,0.000203,2.92,1,1
2018-12-31,60,2.801638,0.29105,0.025132,0.000347,1.74,1,1
2018-12-31,120,2.741017,0.168795,0.004995,4.8e-05,2.58,1,1
2019-01-31,60,0.433355,2.368283,0.661435,0.078732,6.0,0,0
2019-01-31,120,1.749551,0.991466,0.233301,0.008808,12.3,0,1
2019-01-31,250,3.111271,,0.390347,0.022523,14.63,0,1
2019-02-28,60,0.879311,0.445956,0.280681,0.012127,6.04,0,1
2019-02-28,120,1.406744,0.342807,0.457839,0.031393,9.42,0,1
2019-02-28,250,2.72781,0.383461,0.424664,0.026751,15.69,0,1
2019-03-31,60,1.50024,0.620929,0.222164,0.008061,6.0,0,1
2019-03-31,120,1.144245,0.262499,0.074782,0.001515,4.39,0,1
2019-03-31,250,2.356987,0.370823,0.041171,0.000665,9.31,1,1
2019-04-30,60,0.696868,0.803372,0.917214,0.321138,30.88,0,0
2019-04-30,120,1.348487,0.204242,0.762654,0.12614,20.35,0,0
2019-04-30,250,1.921484,0.435502,0.150609,0.004291,10.19,0,1
2019-05-31,60,0.009984,0.686885,0.666164,0.080424,7.89,0,0
2019-05-31,120,1.368096,0.019609,0.676895,0.084415,16.56,0,0
2019-05-31,250,1.959447,0.037963,0.199929,0.006761,10.74,0,1
2019-06-30,60,1.943958,1.933975,0.459287,0.031609,6.35,0,1
2019-06-30,120,2.595671,1.227575,0.855468,0.207575,22.03,0,0
2019-06-30,250,2.148986,0.189539,0.343884,0.017596,13.75,0,1
2019-07-31,60,0.483646,1.460312,0.807702,0.158636,10.6,0,0
2019-07-31,120,1.009275,1.586396,0.659493,0.078049,14.57,0,0
2019-07-31,250,1.997063,0.151923,0.207518,0.007191,13.79,0,1
2019-08-31,60,-0.166816,0.650462,0.664008,0.079648,6.23,0,0
2019-08-31,120,1.397915,0.38864,0.439962,0.028819,10.63,0,1
2019-08-31,250,2.094812,0.097748,0.171685,0.005279,13.8,0,1
2019-09-30,60,0.245287,0.412103,0.618622,0.065038,6.48,0,0
2019-09-30,120,0.450835,0.94708,0.423841,0.026643,8.64,0,1
2019-09-30,250,1.817017,0.277795,0.065488,0.001256,16.2,0,1
2019-10-31,60,-0.118625,0.363912,0.903424,0.28933,16.98,0,0
2019-10-31,120,0.012631,0.438204,0.677914,0.084806,14.09,0,0
2019-10-31,250,1.543582,0.273434,0.279047,0.012002,29.38,0,1
2019-11-30,60,-0.414814,0.296189,0.413645,0.025334,5.21,0,1
2019-11-30,120,-0.309592,0.322223,0.424777,0.026766,7.91,0,1
2019-11-30,250,1.28972,0.253862,0.126246,0.003269,18.05,0,1
2019-12-31,60,-0.817262,0.402448,0.461833,0.031992,5.3,0,1
2019-12-31,120,-0.174865,0.134727,0.24201,0.009373,6.56,0,1
2019-12-31,250,1.093034,0.196686,0.159845,0.004712,20.11,0,1
2020-01-31,60,1.259608,2.07687,0.567602,0.051843,4.31,0,0
2020-01-31,120,-0.081037,0.093827,0.289386,0.012806,8.59,0,1
2020-01-31,250,0.580233,0.512801,0.061832,0.001159,12.09,0,1
2020-01-31,500,2.671407,,0.002151,1.8e-05,14.0,1,1
2020-02-29,60,0.497567,0.762041,0.80771,0.158643,6.5,0,0
2020-02-29,120,-0.127027,0.04599,0.470194,0.033277,8.25,0,1
2020-02-29,250,0.55246,0.027773,0.026176,0.000366,10.36,1,1
2020-02-29,500,2.550829,0.120577,0.001531,1.2e-05,14.48,1,1
2020-03-31,60,2.218252,1.720685,0.195244,0.006502,3.2,0,1
2020-03-31,120,1.671489,1.798517,0.2872,0.012633,7.64,0,1
2020-03-31,250,1.254569,0.702109,0.04552,0.000761,11.38,1,1
2020-03-31,500,2.347743,0.203086,0.000177,1e-06,12.09,1,1
2020-04-30,60,2.237536,0.019284,0.029105,0.00042,1.54,1,1
2020-04-30,120,2.450696,0.779207,0.095183,0.002145,5.48,0,1
2020-04-30,250,1.598944,0.344375,0.044514,0.000739,12.23,1,1
2020-04-30,500,2.109978,0.237765,0.000913,7e-06,11.39,1,1
2020-05-31,60,2.231621,0.005915,0.137041,0.003706,2.42,0,1
2020-05-31,120,2.461693,0.010996,0.169265,0.005161,5.34,0,1
2020-05-31,250,1.653024,0.054081,0.107313,0.00256,12.3,0,1
2020-05-31,500,2.032984,0.076994,0.001387,1.1e-05,11.76,1,1
2020-06-30,60,3.232866,1.001245,0.049495,0.000853,1.69,1,1
2020-06-30,120,2.398312,0.063381,0.03873,0.000613,3.72,1,1
2020-06-30,250,1.634894,0.01813,0.04025,0.000645,10.66,1,1
2020-06-30,500,1.945437,0.087547,0.001747,1.4e-05,11.84,1,1
2020-07-31,60,1.036436,2.196431,0.302696,0.013887,4.13,0,1
2020-07-31,120,1.646448,0.751864,0.447218,0.029843,7.91,0,1
2020-07-31,250,1.404772,0.230122,0.275663,0.011746,11.31,0,1
2020-07-31,500,1.633469,0.311968,0.015081,0.000182,13.45,1,1
2020-08-31,60,0.754544,0.281892,0.338365,0.017066,3.58,0,1
2020-08-31,120,1.399526,0.246922,0.279746,0.012056,7.03,0,1
2020-08-31,250,1.221175,0.183597,0.180049,0.005699,11.5,0,1
2020-08-31,500,1.420416,0.213053,0.048785,0.000837,13.91,1,1
2020-09-30,60,1.246328,0.491785,0.881772,0.245102,6.91,0,0
2020-09-30,120,1.362007,0.037518,0.297874,0.013489,7.23,0,1
2020-09-30,250,1.326365,0.10519,0.238254,0.009127,10.52,0,1
2020-09-30,500,1.464434,0.044018,0.03248,0.000485,13.35,1,1
2020-10-31,60,2.590826,1.344497,0.489165,0.036351,4.52,0,1
2020-10-31,120,1.537941,0.175934,0.650945,0.075115,11.95,0,0
2020-10-31,250,1.574558,0.248193,0.083323,0.001769,9.82,0,1
2020-10-31,500,1.624657,0.160223,0.004407,4.1e-05,13.53,1,1
2020-11-30,60,1.958372,0.632454,0.238099,0.009117,3.01,0,1
2020-11-30,120,1.660231,0.12229,0.518511,0.041581,10.37,0,1
2020-11-30,250,1.635426,0.060869,0.122167,0.00311,9.84,0,1
2020-11-30,500,1.62227,0.002387,0.003686,3.3e-05,13.09,1,1
2020-12-31,60,1.471141,0.487231,0.061025,0.001138,2.99,0,1
2020-12-31,120,2.178119,0.517888,0.024086,0.000329,3.73,1,1
2020-12-31,250,1.698461,0.063035,0.058724,0.001079,8.33,0,1
2020-12-31,500,1.648428,0.026158,0.003499,3.1e-05,13.05,1,1
2020-12-31,730,1.905712,,0.005627,5.5e-05,18.24,1,1
2021-01-31,60,2.347699,0.876558,0.701566,0.094466,5.4,0,0
2021-01-31,120,2.240553,0.062434,0.228656,0.008463,5.26,0,1
2021-01-31,250,1.830469,0.132008,0.175398,0.005463,9.87,0,1
2021-01-31,500,1.730231,0.081802,0.006291,6.3e-05,12.94,1,1
2021-01-31,730,1.897468,0.008244,0.00213,1.8e-05,17.13,1,1
2021-02-28,60,2.44501,0.097311,0.666558,0.080567,5.85,0,0
2021-02-28,120,2.16834,0.072214,0.148328,0.00419,5.0,0,1
2021-02-28,250,1.884334,0.053866,0.122964,0.003141,9.64,0,1
2021-02-28,500,1.76502,0.03479,0.003795,3.4e-05,12.0,1,1
2021-02-28,730,1.880401,0.017067,8.2e-05,1e-06,13.79,1,1
2021-03-31,60,0.646417,1.798592,0.761303,0.125308,7.62,0,0
2021-03-31,120,1.931025,0.237314,0.39077,0.022572,7.27,0,1
2021-03-31,250,1.84558,0.038755,0.174064,0.005397,11.04,0,1
