# script_path: C:\Users\preet\OneDrive\Desktop\Skool\Arbit\analysis\claim003\codex\run_claim003_eg_halflife_ordering_robustness.py
# git_commit: dcd5f465aff03bbcf448a8e845767d364cfae098
# snapshot_id: tcs_infy_v1_2026-07-04
# timestamp_utc: 2026-07-06T09:30:39.968404+00:00
# output_content_sha256: 99970038a3c2c6bc88108320a39abc8becbc5191172169e08f4e1c1783fe778a
# output_hash_scope: bytes after this provenance header
# final_file_sha256: recorded in output_manifest.csv
window_length,config_id,eg_p_threshold,half_life_threshold,real_eg_cross_date,real_eg_cross_p_value,real_hl_cross_date,real_hl_cross_half_life,real_actual_order,real_anchor_used_in_classification
500,C1,0.05,20.0,2022-01-31,0.054798650332854186,2023-04-28,29.069707784469166,EG_FIRST,False
500,C2,0.03,20.0,2022-01-31,0.054798650332854186,2023-04-28,29.069707784469166,EG_FIRST,False
500,C3,0.1,20.0,2023-02-28,0.10447115174655586,2023-04-28,29.069707784469166,EG_FIRST,False
500,C4,0.05,15.0,2022-01-31,0.054798650332854186,2022-03-31,15.589148903642862,EG_FIRST,False
500,C5,0.05,25.0,2022-01-31,0.054798650332854186,2023-04-28,29.069707784469166,EG_FIRST,False
730,C1,0.05,20.0,2023-04-28,0.09344489432714986,2023-04-28,22.32101272432479,SIMULTANEOUS,False
730,C2,0.03,20.0,2023-04-28,0.09344489432714986,2023-04-28,22.32101272432479,SIMULTANEOUS,False
730,C3,0.1,20.0,2023-05-31,0.14935516952441702,2023-04-28,22.32101272432479,HL_FIRST,False
730,C4,0.05,15.0,2023-04-28,0.09344489432714986,2023-04-28,22.32101272432479,SIMULTANEOUS,False
730,C5,0.05,25.0,2023-04-28,0.09344489432714986,2023-05-31,27.165118138257014,EG_FIRST,False
