metric,value
claim_id,claim_005_volume_event_study_tcs500d
data_floor,2018-09-06
estimation_end,2026-07-10
anchor_date,2021-12-31
event_window_length,20
tcs_post_floor_rows,1937
nsei_post_floor_rows,1930
tcs_zero_volume_count_post_floor_pre_merge,5
nsei_zero_volume_count_post_floor_pre_merge,22
inner_join_rows_pre_zero_drop,1930
tcs_only_dates_dropped_by_inner_join,7
nsei_only_dates_dropped_by_inner_join,0
total_unmatched_dates_dropped_by_inner_join,7
tcs_zero_volume_count_merged_pre_drop,1
nsei_zero_volume_count_merged_pre_drop,22
zero_volume_rows_dropped,23
analysis_rows_after_zero_drop,1907
event_window_rows_pre_zero_drop,20
event_window_rows_dropped_for_zero_volume,0
event_window_rows_in_regression,20
event_window_first_date,2021-12-03
event_window_last_date,2021-12-30
