# script_path: C:\Users\preet\OneDrive\Desktop\Skool\Arbit\phase_i_tcs_infy_pairs_trading\analysis\claim_005_volume_event_study_tcs500d\opus_tier_a\run_claim_005.py
# git_commit: c4b24437d5c562dd064e1c2e5235a55fe88f0920
# tcs_snapshot_id: tcs_infy_v2_2026-07-11
# nsei_snapshot_id: nifty_it_benchmark_v1_2026-07-11
# timestamp_utc: 2026-07-12T09:58:27.737545+00:00
# output_content_sha256: 53c7f6891e6a380d2de41194585a7a056b1f8bc9ab0665b215b237f1087f6cd0
date,tcs_volume,nsei_volume,in_event_window
2018-09-11,3679745,0,False
2018-09-24,3032226,0,False
2018-10-10,2749573,0,False
2018-10-25,2507233,0,False
2018-11-06,1398710,0,False
2018-11-15,1829123,0,False
2018-11-26,4333177,0,False
2018-11-27,3344839,0,False
2020-02-17,1774724,0,False
2020-09-17,4828176,0,False
2021-03-08,2003125,0,False
2021-04-07,2491268,0,False
2021-05-27,5959785,0,False
2021-07-14,2044279,0,False
2022-08-16,839942,0,False
2023-03-22,1123939,0,False
2023-08-16,1328445,0,False
2024-02-19,772291,0,False
2024-04-01,1569676,0,False
2024-07-01,2658723,0,False
2024-07-02,2307449,0,False
2024-07-03,1821198,0,False
2025-03-18,0,272600,False
