# script_path: C:\Users\preet\OneDrive\Desktop\Skool\Arbit\phase_i_tcs_infy_pairs_trading\analysis\claim_005_volume_event_study_tcs500d\opus_tier_a\run_claim_005.py
# git_commit: c4b24437d5c562dd064e1c2e5235a55fe88f0920
# tcs_snapshot_id: tcs_infy_v2_2026-07-11
# nsei_snapshot_id: nifty_it_benchmark_v1_2026-07-11
# timestamp_utc: 2026-07-12T09:58:27.737545+00:00
# output_content_sha256: 60347d56711483eb0705b293ec232a4aa92bcac4cb4ea048f1876d2abe873781
variable,coefficient,hc3_se,t_statistic,p_value_twosided,p_value_onesided_gt0
const,10.070907056363716,1.1953173287733934,8.425299971764188,3.598271996164099e-17,
log_nsei_vol,0.3687720692359899,0.09306319886129522,3.9625982531034767,7.413848010327692e-05,
mon,-0.11124371364362026,0.03597592071465453,-3.0921714144846315,0.001986980749979387,
tue,-0.029407608620783836,0.03485429499767319,-0.8437298365308217,0.3988203908109449,
wed,-0.09316321579335003,0.0340027397550249,-2.7398738003040606,0.006146277931052637,
thu,-0.008099446918882508,0.03300497272023909,-0.24540080634321562,0.8061461047257573,
event_window,-0.15625938835119407,0.06824369994149956,-2.289726208941544,0.022037193107045543,0.9889814034464772
_n_obs,1907.0,,,,
_r_squared,0.18083793578829632,,,,
_r_squared_adj,0.17825110821710155,,,,
